Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores
1,Brasil,30,Número-índice,170.54,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201903,3º trimestre 2019,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,172.04,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),201904,4º trimestre 2019,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,168.09,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202001,1º trimestre 2020,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,153.17,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202002,2º trimestre 2020,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,165.31,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202003,3º trimestre 2020,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,171.65,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202004,4º trimestre 2020,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,173.15,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202101,1º trimestre 2021,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,171.94,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202102,2º trimestre 2021,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,172.20,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202103,3º trimestre 2021,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,174.50,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202104,4º trimestre 2021,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,175.70,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202201,1º trimestre 2022,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,177.70,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202202,2º trimestre 2022,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,179.58,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202203,3º trimestre 2022,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,180.35,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202204,4º trimestre 2022,90707,PIB a preços de mercado
1,Brasil,30,Número-índice,182.77,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202301,1º trimestre 2023,90707,PIB a preços de mercado
