Ticker;Nome_Empresa;Setor;Subsetor;Tipo_Ativo
OIBR3;OI S.A.;Communications;Telecomunicações;stock
TAEE4;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Industrial Services;;stock
SHUL4;SCHULZ S.A.;Producer Manufacturing;;stock
LOGG3;LOG COMMERCIAL PROPERTIES;Industrial Services;Exploração de Imóveis;stock
LAVV3;LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Finance;Incorporações;stock
LEVE3;MAHLE-METAL LEVE S.A.;Producer Manufacturing;Automóveis e Motocicletas;stock
TUPY3;TUPY S.A.;Producer Manufacturing;Material Rodoviário;stock
KLBN3;KLABIN S.A.;Non-Energy Minerals;Papel e Celulose;stock
TASA4;TAURUS ARMAS S.A.;Electronic Technology;;stock
RNEW3;RENOVA ENERGIA S.A.;Utilities;Energia Elétrica;stock
MSFT34;MSFT34;Technology Services;;bdr
BABA34;BABA34;Retail Trade;;bdr
TAEE3;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Industrial Services;Energia Elétrica;stock
AAPL34;AAPL34;Electronic Technology;;bdr
SEQL3;SEQUOIA LOGISTICA E TRANSPORTES S.A;Transportation;;stock
FRAS3;FRASLE MOBILITY S.A.;Producer Manufacturing;Material Rodoviário;stock
AVGO34;AVGO34;Electronic Technology;;bdr
AGRO3;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Finance;Agricultura;stock
ALPK3;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A;Consumer Services;Serviços Diversos;stock
RAPT3;RANDONCORP S.A.;Producer Manufacturing;Material Rodoviário;stock
VLID3;VALID SOLUÇÕES S.A.;Commercial Services;Serviços Diversos;stock
XINA11;XINA11;Miscellaneous;;fund
PFRM3;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;Distribution Services;Medicamentos e Outros Produtos;stock
SAPR3;CIA SANEAMENTO DO PARANA - SANEPAR;Utilities;Água e Saneamento;stock
IVVB11;IVVB11;Miscellaneous;;fund
GOGL34;GOGL34;Technology Services;;bdr
TGMA3;TEGMA GESTAO LOGISTICA S.A.;Transportation;Transporte Rodoviário;stock
ITLC34;ITLC34;Electronic Technology;;bdr
EUCA4;EUCATEX S.A. INDUSTRIA E COMERCIO;Non-Energy Minerals;;stock
UNIP6;UNIPAR CARBOCLORO S.A.;Process Industries;;stock
RNEW4;RENOVA ENERGIA S.A.;Utilities;;stock
ITSA3;ITAUSA S.A.;Finance;Holdings Diversificadas;stock
CMIG3;CIA ENERGETICA DE MINAS GERAIS - CEMIG;Utilities;Energia Elétrica;stock
BRKM3;BRASKEM S.A.;Process Industries;Petroquímicos;stock
AMAR3;MARISA LOJAS S.A.;Retail Trade;Tecidos. Vestuário e Calçados;stock
ROMI3;ROMI S.A.;Producer Manufacturing;Máquinas e Equipamentos Industriais;stock
TSMC34;TSMC34;Electronic Technology;;bdr
TCSA3;TECNISA S.A.;Finance;Incorporações;stock
ORCL34;ORCL34;Technology Services;;bdr
LPSB3;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Commercial Services;Intermediação Imobiliária;stock
LILY34;LILY34;Health Technology;;bdr
DISB34;DISB34;Consumer Services;;bdr
PYPL34;PYPL34;Commercial Services;;bdr
MUTC34;MUTC34;Electronic Technology;;bdr
SCAR3;SAO CARLOS EMPREEND E PARTICIPACOES S.A.;Finance;Exploração de Imóveis;stock
A1MD34;A1MD34;Electronic Technology;;bdr
JFEN3;JOAO FORTES ENGENHARIA S.A.;Consumer Durables;Incorporações;stock
N1OW34;N1OW34;Technology Services;;bdr
KDIF11;KDIF11;Miscellaneous;;fund
BRAP3;BRADESPAR S.A.;Finance;Minerais Metálicos;stock
RCSL3;RECRUSUL S.A.;Producer Manufacturing;Material Rodoviário;stock
ALUP4;ALUPAR INVESTIMENTO S/A;Utilities;;stock
SPXI11;SPXI11;Miscellaneous;;fund
TECN3;TECHNOS S.A.;Consumer Durables;Acessórios;stock
NIKE34;NIKE34;Consumer Non-Durables;;bdr
BIOM3;BIOMM S.A.;Health Technology;Medicamentos e Outros Produtos;stock
PDGR3;PDG REALTY S.A. EMPREEND E PARTICIPACOES;Finance;Incorporações;stock
BIWM39;ISHARES RUSSELL 2000 ETF;Miscellaneous;;bdr
ASML34;ASML34;Electronic Technology;;bdr
DMVF3;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;Distribution Services;Medicamentos e Outros Produtos;stock
INEP3;INEPAR S.A. INDUSTRIA E CONSTRUCOES;Producer Manufacturing;Máq. e Equip. Industriais;stock
XPIE11;XPIE11;;;fund
FSPE11;FSPE11;Finance;;fund
BERK34;BERK34;Finance;;bdr
JPMC34;JPMC34;Finance;;bdr
GOAU3;METALURGICA GERDAU S.A.;Non-Energy Minerals;Siderurgia;stock
L1RC34;L1RC34;Producer Manufacturing;;bdr
HAGA4;HAGA S.A. INDUSTRIA E COMERCIO;Consumer Durables;;stock
LUXM4;TREVISA INVESTIMENTOS S.A.;Transportation;;stock
BMEB4;BCO MERCANTIL DO BRASIL S.A.;Finance;;stock
PFIN11;PFIN11;Miscellaneous;;fund
PIBB11;PIBB11;Miscellaneous;;fund
ETER3;ETERNIT S.A.;Non-Energy Minerals;Produtos para Construção;stock
BSLV39;ISHARES SILVER TRUST;Miscellaneous;;bdr
CAMB3;CAMBUCI S.A.;Consumer Non-Durables;Calçados;stock
COCA34;COCA34;Consumer Non-Durables;;bdr
VISA34;VISA34;Finance;;bdr
BDIV11;BDIV11;;;fund
BSLI3;BRB BCO DE BRASILIA S.A.;Finance;Bancos;stock
BOVB11;BOVB11;Miscellaneous;;fund
ALUP3;ALUPAR INVESTIMENTO S/A;Utilities;Energia Elétrica;stock
IFRA11;IFRA11;Miscellaneous;;fund
WALM34;WALM34;Retail Trade;;bdr
