date,ibc_br,selic,usd_brl,usd_brl_volatility,selic_change,usd_brl_return,ipca_12m,ipca_month,unemployment,pib_index,ibovespa,ifnc,icon,iee,ibovespa_return_1m,ibovespa_return_3m,ibovespa_volatility_3m_ann,ibovespa_drawdown,ifnc_return_1m,ifnc_return_3m,ifnc_volatility_3m_ann,ifnc_drawdown,icon_return_1m,icon_return_3m,icon_volatility_3m_ann,icon_drawdown,iee_return_1m,iee_return_3m,iee_volatility_3m_ann,iee_drawdown,ibc_br_change,pib_change_3m,unemployment_change
2017-03-31,93.41286,12.25,3.1684,0.030932407197115604,0.0,0.022295357016100414,4.76,0.33,13.3,162.68,64984.06,7178.88,2951.58,39971.64,-0.02517232430421501,0.07898048857594109,0.17187904601770798,-0.05252680184350611,-0.020353355540302043,0.1274269767208116,0.19362882840661183,-0.020353355540302043,0.002533864108799966,0.044851462717000246,0.05532035846455989,-0.056529952723890275,-0.013505802727024951,0.10699742108155053,0.15096625371687497,-0.013505802727024951,0.005912204999513726,-0.0011665745686744167,0.6000000000000014
2017-04-30,94.52304,11.25,3.1984,0.03474459564740609,-1.0,0.009468501451836753,4.57,0.25,13.9,162.68,65403.24,7286.25,3145.8,39201.52,0.006450504939211177,0.01132598060515111,0.09720556604499309,-0.04641512129902736,0.014956372024605535,0.0517954684558799,0.1356224775227789,-0.005701395873106363,0.06580204500640341,0.07816693114167528,0.1205541343382398,0.0,-0.019266660061983965,0.013965540475702198,0.12923756875122452,-0.03251225107900324,0.011884659135797726,-0.0011665745686744167,0.5999999999999996
2017-05-31,94.60922,11.25,3.2437,0.09554712318062786,0.0,0.014163331665832946,4.08,0.14,13.7,162.68,62711.47,6733.48,3123.65,37832.98,-0.04115652374408363,-0.05926350955040427,0.0839276729231118,-0.085661360001283,-0.07586481386172594,-0.0811336743981671,0.1585987810260776,-0.0811336743981671,-0.007041134210693634,0.06097917204461778,0.1371179934608459,-0.007041134210693634,-0.034910381026041715,-0.06628761703186259,0.038368462439710066,-0.06628761703186259,0.0009117353821883611,-0.0011665745686744167,-0.20000000000000107
2017-06-30,94.47996,10.25,3.3082,0.02427568814672041,-1.0,0.019884699571476983,3.6,0.31,13.4,164.36,62899.97,6866.06,3030.12,38095.18,0.003005829715042596,-0.03207078782089012,0.09196312772520114,-0.08291301374756321,0.019689670125997427,-0.043575042346438386,0.18655589686137716,-0.06304149955717964,-0.02994253517519574,0.026609476958103784,0.17319138291925312,-0.03677283997711245,0.006930461200783,-0.046944783851750826,0.07323484479818859,-0.05981655958901133,-0.001366251619028147,0.010327022375215211,-0.29999999999999893
2017-07-31,94.25472,9.25,3.1307,0.01820819761318262,-1.0,-0.053654555347318666,3.0,-0.23,13.1,164.36,65920.36,7146.33,3203.31,39621.29,0.04801894182143496,0.007906641933947078,0.1544587801543079,-0.038875467109512396,0.0408196258116007,-0.01920329387545039,0.21537127431165903,-0.02479520416810521,0.05715615223159487,0.018281518214762427,0.15640938015781508,0.0,0.04006044859218405,0.010708003159061175,0.13014513003911748,-0.022152389207204082,-0.0023839976223529735,0.010327022375215211,-0.3000000000000007
2017-08-31,94.85835,9.25,3.1471,0.019091888169480247,0.0,0.0052384450761810974,2.71,0.24,12.9,164.36,70835.05,7626.19,3492.61,41184.5,0.07455496298867303,0.12953898226273441,0.12529660133537912,0.0,0.06714775276260676,0.13257780523592566,0.08236400795938932,0.0,0.09031283266371348,0.11811822707409592,0.21515994190060014,0.0,0.039453788607084705,0.08858725905281584,0.06566172289042291,0.0,0.0064042416125154045,0.010327022375215211,-0.1999999999999993
2017-09-30,94.90523,8.25,3.168,0.022691032835302504,-1.0,0.006641034603285689,2.46,0.19,12.7,165.74,74293.5,8121.9,3744.59,41305.79,0.0488239932067529,0.18113728830077336,0.05228558755602121,0.0,0.06500100312213575,0.1829054799987182,0.05064618073264151,0.0,0.07214661814516932,0.23578934167623733,0.0575167953821737,0.0,0.0029450400029138457,0.08427864102492766,0.0736316550911152,0.0,0.0004942105781937656,0.008396203455828699,-0.20000000000000107
2017-10-31,94.64373,7.5,3.2769,0.02614987471242161,-0.75,0.03437499999999982,2.54,0.16,12.5,165.74,74308.49,7998.89,3648.59,40010.3,0.00020176731477183907,0.12724642280472986,0.1308021510796389,0.0,-0.015145470887353851,0.1193003961473933,0.16248224819268825,-0.015145470887353851,-0.025636985624594377,0.1390062154458982,0.21603705643813753,-0.025636985624594377,-0.03136339965898238,0.009818206322913747,0.12267870157927205,-0.03136339965898238,-0.0027553802883150125,0.008396203455828699,-0.1999999999999993
2017-11-30,94.64511,7.5,3.2616,0.02267225691732807,0.0,-0.004669046965119383,2.7,0.42,12.3,165.74,71970.99,7685.28,3520.24,38901.51,-0.0314567016501075,0.016036411352854385,0.14008118699233932,-0.0314567016501075,-0.03920668992822762,0.007748298953999422,0.18900604672213814,-0.05375835703468401,-0.035177972860749085,0.007910989202916996,0.20577284290318912,-0.05991310130081007,-0.02771261400189451,-0.055433233376634417,0.06527310345044798,-0.058206851872340426,1.4580997600210921e-05,0.008396203455828699,-0.1999999999999993
2017-12-31,94.84934,7.0,3.308,0.02727501163169954,-0.5,0.014226146676477702,2.8,0.28,12.1,166.1,76402.08,8020.86,3759.89,39732.33,0.06156772332852434,0.028381756142865866,0.1638388406775824,0.0,0.043665292611329676,-0.012440438813578147,0.14768489194950016,-0.012440438813578147,0.06807774469922512,0.004085894583919725,0.19766246141304547,0.0,0.021357011591580877,-0.038092964690906506,0.101986255487946,-0.038092964690906506,0.0021578505218071697,0.0021720767467117152,-0.20000000000000107
