date,ibc_br_change,selic,selic_change,usd_brl_return,usd_brl_volatility,ipca_12m,pib_change_3m,unemployment,unemployment_change,target_stress,split
2018-10-31,0.0076900937398671,6.5,0.0,-0.0714803067009666,0.0498392229636115,4.53,-0.0012497024517971,12.0,-0.1999999999999993,0,train
2018-11-30,-0.0053858246796771,6.5,0.0,0.0391639992468462,0.0292629001901031,4.56,-0.0012497024517971,11.8,-0.1999999999999993,0,train
2018-12-31,0.0032925716227538,6.5,0.0,0.0029767297388243,0.0356366475790959,4.05,0.0095930405767741,11.7,-0.1000000000000014,0,train
2019-01-31,0.0029455463659844,6.5,0.0,-0.0575255497057912,0.0391551084275357,3.75,0.0095930405767741,11.7,0.0,0,validation
2019-02-28,0.0028413213522167,6.5,0.0,0.0237136832881514,0.0314163376145252,3.78,0.0095930405767741,12.2,0.5,1,validation
2019-03-31,-0.0022189445789773,6.5,0.0,0.0423164370736925,0.045438839707551,3.89,-0.0024787535410764,12.5,0.3000000000000007,0,validation
2019-04-30,-0.0057088506783709,6.5,0.0,0.0124720917699592,0.0228785741745505,4.58,-0.0024787535410764,12.8,0.3000000000000007,0,validation
2019-05-31,-0.0061925892882614,6.5,0.0,-0.0011659442881403,0.036509373630619,4.94,-0.0024787535410764,12.6,-0.200000000000001,0,validation
2019-06-30,-0.0002018845621151,6.5,0.0,-0.0275331793843733,0.0276735386822063,4.66,0.0028990651993845,12.4,-0.1999999999999993,0,validation
2019-07-31,0.0138786597921567,6.5,0.0,-0.0175617138980219,0.0241633122375585,3.37,0.0028990651993845,12.1,-0.3000000000000007,0,validation
2019-08-31,-0.0052534697460796,6.0,-0.5,0.0992323833302344,0.0367996183405004,3.22,0.0028990651993845,11.9,-0.1999999999999993,0,validation
2019-09-30,-0.0021000630453709,5.5,-0.5,0.0062583061495711,0.0283509097800724,3.43,0.0058403634003894,11.9,0.0,0,validation
2019-10-31,0.0023616556341954,5.0,-0.5,-0.0384929401594466,0.029595350955799,2.89,0.0058403634003894,11.9,0.0,0,validation
2019-11-30,0.0033396158986334,5.0,0.0,0.0549187083239679,0.0257982987323728,2.54,0.0058403634003894,11.7,-0.200000000000001,0,validation
2019-12-31,0.0117155607580703,4.5,-0.5,-0.0457623106060605,0.0162909695937789,3.27,0.0002346041055718,11.3,-0.3999999999999986,0,validation
2020-01-31,-0.0016371274444122,4.5,0.0,0.0592452923809758,0.0236855473976725,4.31,0.0002346041055718,11.1,-0.200000000000001,0,validation
2020-02-29,-0.0032762539450668,4.25,-0.25,0.0536831010656986,0.0235227349812991,4.19,0.0002346041055718,11.3,0.200000000000001,1,validation
2020-03-31,6.690645749762858e-05,3.75,-0.5,0.1556005068130792,0.0845294282573711,4.01,0.0087955904773073,11.7,0.3999999999999986,1,validation
2020-04-30,0.001443566488275,3.75,0.0,0.0439148248600611,0.0678890039546524,3.3,0.0087955904773073,12.4,0.7000000000000011,1,validation
2020-05-31,-0.0662304834204602,3.0,-0.75,-0.000128984706099,0.0757707421184885,2.4,0.0087955904773073,12.7,0.2999999999999989,1,validation
2020-06-30,-0.0910734537060906,2.25,-0.75,0.0091590955162816,0.0890500632617742,1.88,-0.0229597767960938,13.1,0.4000000000000003,0,validation
2020-07-31,0.0304711615514352,2.25,0.0,-0.0497991234477721,0.0504377682348819,2.13,-0.0229597767960938,13.6,0.5,0,validation
2020-08-31,0.0455158778480762,2.0,-0.25,0.0515057751811351,0.0537455386528627,2.31,-0.0229597767960938,14.1,0.5,1,validation
2020-09-30,0.0264384162593842,2.0,0.0,0.0309615630654505,0.0496412104348477,2.44,-0.0887619727526921,14.8,0.7000000000000011,1,validation
2020-10-31,0.0191338608339664,2.0,0.0,0.0232417962309643,0.037543469125105,3.14,-0.0887619727526921,14.9,0.0999999999999996,0,validation
2020-11-30,0.0199499558544109,2.0,0.0,-0.0762500433140441,0.0650028476420818,3.92,-0.0887619727526921,14.6,-0.3000000000000007,0,validation
2020-12-31,0.0203993761922898,2.0,0.0,-0.0253202543278878,0.0334006504729255,4.31,0.0792583404060849,14.3,-0.2999999999999989,0,validation
2021-01-31,0.0021487428687818,2.0,0.0,0.0537264032943984,0.0647326198749607,4.52,0.0792583404060849,14.2,-0.1000000000000014,0,test
2021-02-28,0.0016745772410287,2.0,0.0,0.0099161781624936,0.04153000437889,4.56,0.0792583404060849,14.4,0.200000000000001,1,test
2021-03-31,0.001273949905022,2.75,0.75,0.0302159053922101,0.0657606076700365,5.2,0.0383521868005565,14.6,0.1999999999999993,0,test
2021-04-30,0.0093512706777747,2.75,0.0,-0.0515507345584751,0.0283711674544942,6.1,0.0383521868005565,14.9,0.3000000000000007,0,test
2021-05-31,-0.0343894604803974,3.5,0.75,-0.0317195943445111,0.0313350146297191,6.76,0.0383521868005565,14.8,-0.0999999999999996,0,test
2021-06-30,0.0106839180408662,4.25,0.75,-0.0439585642750658,0.0330745685538292,8.06,0.0087387124963589,14.7,-0.1000000000000014,0,test
2021-07-31,0.0070031020410197,4.25,0.0,0.0238694974211346,0.0451873895035212,8.35,0.0087387124963589,14.2,-0.5,1,test
2021-08-31,-0.0025405668160413,5.25,1.0,0.0042369572008746,0.0477943997476548,8.99,0.0087387124963589,13.7,-0.5,1,test
2021-09-30,-0.0035255309325374,6.25,1.0,0.0575700425796668,0.0287916680415797,9.68,-0.0069881605544326,13.2,-0.5,1,test
2021-10-31,0.0060770462989396,7.75,1.5,0.0374305989631209,0.0400766456556736,10.25,-0.0069881605544326,12.7,-0.5,0,test
2021-11-30,-0.0006488615083189,7.75,0.0,-0.0040935672514619,0.0329675188408045,10.67,-0.0069881605544326,12.1,-0.5999999999999996,1,test
2021-12-31,0.0054127184960401,9.25,1.5,-0.0070108009039308,0.0287313936162449,10.74,0.0015121554030474,11.6,-0.5,0,test
2022-01-31,0.0161579172142694,9.25,0.0,-0.0399784965504882,0.0337953656954607,10.06,0.0015121554030474,11.1,-0.5,1,test
