date,ibc_br,selic,usd_brl,usd_brl_volatility,selic_change,usd_brl_return,ipca_12m,ipca_month,unemployment,pib_index,ibovespa,ifnc,icon,iee,ibovespa_return_1m,ibovespa_return_3m,ibovespa_volatility_3m_ann,ibovespa_drawdown,ifnc_return_1m,ifnc_return_3m,ifnc_volatility_3m_ann,ifnc_drawdown,icon_return_1m,icon_return_3m,icon_volatility_3m_ann,icon_drawdown,iee_return_1m,iee_return_3m,iee_volatility_3m_ann,iee_drawdown,ibc_br_change,pib_change_3m,unemployment_change,stress_score,target_p75,target_p80,target_p90,target_stress
2020-02-29,97.59895,4.25,4.4987,0.0235227349812991,-0.25,0.0536831010656986,4.19,0.21,11.3,170.54,104171.57,12048.72,4924.48,75555.55,-0.0842910685134576,-0.0375273668136084,0.2651431170672278,-0.0992151521194022,-0.0529872583780233,-0.039597496789683,0.2000612314282162,-0.0886494164845662,-0.0999630808821111,0.0078363714878053,0.3256693813861284,-0.0999630808821111,-0.0351585141740828,0.0887349641687691,0.2426414832581917,-0.0351585141740828,-0.0032762539450668,0.0002346041055718,0.200000000000001,0.023265973146973977,1,1,1,1
2020-03-31,97.60548,3.75,5.1987,0.0845294282573711,-0.5,0.1556005068130792,4.01,0.25,11.7,172.04,73019.76,8116.88,3372.66,57650.79,-0.2990432994338091,-0.368588825109598,0.511246692074052,-0.368588825109598,-0.3263284398674714,-0.3860490305754674,0.5626389569820796,-0.3860490305754674,-0.3151236272662291,-0.3610365399662393,0.614223285930496,-0.3835859795080619,-0.2369747821304987,-0.2476459732776386,0.4712321549796612,-0.2638016150681462,6.690645749762858e-05,0.0087955904773073,0.3999999999999986,0.82705929958247,1,1,0,1
2020-04-30,97.74638,3.75,5.427,0.0678890039546524,0.0,0.0439148248600611,3.3,0.07,12.4,172.04,80505.89,8410.76,3968.63,61335.14,0.1025219748736507,-0.2923216717356462,0.6960923838032523,-0.3038553045025419,0.0362060299031155,-0.3389258870050546,0.6543731136657288,-0.3638203034174361,0.1767062200162483,-0.2746617879819133,0.8540919873852046,-0.2746617879819133,0.0639080574611379,-0.2167526063811243,0.5311769475196351,-0.2167526063811243,0.001443566488275,0.0087955904773073,0.7000000000000011,0.5465897550396029,1,1,1,1
2020-05-31,91.27259,3.0,5.4263,0.0757707421184885,-0.75,-0.000128984706099,2.4,-0.31,12.7,172.04,87402.59,8779.31,4272.4,66370.28,0.085667023866204,-0.1609746306021884,0.7868173762146966,-0.2442186602590299,0.0438188701139967,-0.2713491557609438,0.7328004205708867,-0.3359436279237228,0.0765427868055221,-0.1324160114367405,0.9003686933054581,-0.2191423798575141,0.0820922557607271,-0.1215697589389529,0.620749422709689,-0.1524540610202408,-0.0662304834204602,0.0087955904773073,0.2999999999999989,0.7343703413252846,1,1,1,1
2020-06-30,82.96008,2.25,5.476,0.0890500632617742,-0.75,0.0091590955162816,1.88,-0.38,13.1,168.09,95055.82,9926.25,4703.23,70159.54,0.0875629658114252,0.3017821477364486,0.0319829930258831,-0.1780402046463782,0.1306412462938431,0.2229144695991562,0.1817365699926942,-0.2491904758663099,0.1008402771276097,0.3945164943990795,0.1809901802800002,-0.1404004810451401,0.0570927228271449,0.2169744768458505,0.0447680801658781,-0.1040653556427971,-0.0910734537060906,-0.0229597767960938,0.4000000000000003,1.4216202835281526,0,0,0,0
2020-07-31,85.48797,2.25,5.2033,0.0504377682348819,0.0,-0.0497991234477721,2.13,0.26,13.6,168.09,102912.24,10850.73,5061.51,76523.66,0.0826505941456292,0.2783193875628231,0.008581939116744,-0.1101047391965814,0.0931348696637701,0.2901010134637058,0.1508437675545456,-0.1792639286938013,0.0761774355070878,0.2753796650229425,0.0489644212530275,-0.0749183941280325,0.0907092606365436,0.2476316186773195,0.0604863791975968,-0.0227957864744906,0.0304711615514352,-0.0229597767960938,0.5,-0.1816837634174049,0,0,0,0
2020-08-31,89.37903,2.0,5.4713,0.0537455386528627,-0.25,0.0515057751811351,2.31,0.36,14.1,168.09,99369.15,9993.37,4986.61,71966.61,-0.0344282662587075,0.1369131052066077,0.2392214524282891,-0.1407422901778835,-0.0790140386867979,0.1382864940411037,0.3872913979280278,-0.2441136003836398,-0.0147979555508139,0.1671683362980993,0.2109833092541977,-0.0886077106126015,-0.0595508630925389,0.0843198190515392,0.2731809017247454,-0.0809891408076005,0.0455158778480762,-0.0229597767960938,0.5,-0.04921273318234846,1,1,1,1
2020-09-30,91.74207,2.0,5.6407,0.0496412104348477,0.0,0.0309615630654505,2.44,0.24,14.8,153.17,94603.38,9344.67,4789.32,68569.31,-0.0479602572830701,-0.004759729598882,0.2487961770027482,-0.1819525110134139,-0.0649130373437589,-0.0585901020022666,0.3310988547084671,-0.2931804824695762,-0.0395639522641634,0.0183044418410327,0.2111205589920548,-0.1246659916438511,-0.047206614289599,-0.0226659125758235,0.2889680737321388,-0.1243725319654491,0.0264384162593842,-0.0887619727526921,0.7000000000000011,0.7397444950712317,1,1,0,1
2020-10-31,93.49745,2.0,5.7718,0.037543469125105,0.0,0.0232417962309643,3.14,0.64,14.9,153.17,93952.4,9341.44,4652.51,69951.35,-0.0068811494895849,-0.0870629188520238,0.072518294526056,-0.1875816180747102,-0.0003456515853421,-0.1390957106111754,0.1453031360411548,-0.2934247957563614,-0.0285656418865307,-0.0808059255044443,0.0429852675089264,-0.1496704694576545,0.0201553727170362,-0.0858859861120077,0.1486142779070872,-0.1067239339859379,0.0191338608339664,-0.0887619727526921,0.0999999999999996,0.44189610493941106,0,0,0,0
2020-11-30,95.36272,2.0,5.3317,0.0650028476420818,0.0,-0.0762500433140441,3.92,0.86,14.6,153.17,108893.32,10923.15,5068.06,77283.13,0.1590264857523597,0.0958463466780183,0.3796217810429167,-0.0583855778365127,0.1693218604412167,0.0930396853113613,0.4190990319275309,-0.1737861676321958,0.0893173792211086,0.0163337417604345,0.2474985539434255,-0.0737212643152964,0.1048125590142292,0.0738748150010122,0.263872338592809,-0.0130973836008405,0.0199499558544109,-0.0887619727526921,-0.3000000000000007,0.20550063378086053,0,0,0,0
