Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Trimestre (Código),Trimestre,Setores e subsetores (Código),Setores e subsetores,valor_numerico
1,Brasil,30,Número-índice,177.70,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202202,2º trimestre 2022,90707,PIB a preços de mercado,17770
1,Brasil,30,Número-índice,179.58,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202203,3º trimestre 2022,90707,PIB a preços de mercado,17958
1,Brasil,30,Número-índice,180.35,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202204,4º trimestre 2022,90707,PIB a preços de mercado,18035
1,Brasil,30,Número-índice,182.77,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202301,1º trimestre 2023,90707,PIB a preços de mercado,18277
1,Brasil,30,Número-índice,184.19,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202302,2º trimestre 2023,90707,PIB a preços de mercado,18419
1,Brasil,30,Número-índice,184.43,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202303,3º trimestre 2023,90707,PIB a preços de mercado,18443
1,Brasil,30,Número-índice,185.14,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202304,4º trimestre 2023,90707,PIB a preços de mercado,18514
1,Brasil,30,Número-índice,186.40,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202401,1º trimestre 2024,90707,PIB a preços de mercado,18640
1,Brasil,30,Número-índice,189.52,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202402,2º trimestre 2024,90707,PIB a preços de mercado,18952
1,Brasil,30,Número-índice,191.23,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202403,3º trimestre 2024,90707,PIB a preços de mercado,19123
1,Brasil,30,Número-índice,191.41,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202404,4º trimestre 2024,90707,PIB a preços de mercado,19141
1,Brasil,30,Número-índice,193.84,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202501,1º trimestre 2025,90707,PIB a preços de mercado,19384
1,Brasil,30,Número-índice,194.50,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202502,2º trimestre 2025,90707,PIB a preços de mercado,19450
1,Brasil,30,Número-índice,194.69,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202503,3º trimestre 2025,90707,PIB a preços de mercado,19469
1,Brasil,30,Número-índice,195.19,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202504,4º trimestre 2025,90707,PIB a preços de mercado,19519
1,Brasil,30,Número-índice,197.34,1,Brasil,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),202601,1º trimestre 2026,90707,PIB a preços de mercado,19734
